countries,,,
id,name,population,land area
135,Armenia,"2,957,731","28,470"
136,Jamaica,"2,948,279","10,830"
137,Albania,"2,880,917","27,400"
138,Qatar,"2,832,067","11,610"
139,Lithuania,"2,759,627","62,674"
140,Namibia,"2,494,530","823,290"
141,Gambia,"2,347,706","10,120"
142,Botswana,"2,303,697","566,730"
143,Gabon,"2,172,579","257,670"
144,Lesotho,"2,125,268","30,360"
145,North Macedonia,"2,083,459","25,220"
146,Slovenia,"2,078,654","20,140"
147,Guinea-Bissau,"1,920,922","28,120"
148,Latvia,"1,906,743","62,200"
149,Bahrain,"1,641,172",760
150,Trinidad and Tobago,"1,394,973","5,130"
151,Equatorial Guinea,"1,355,986","28,050"
152,Estonia,"1,325,648","42,390"
153,Timor-Leste,"1,293,119","14,870"
154,Mauritius,"1,269,668","2,030"
155,Cyprus,"1,198,575","9,240"
156,Eswatini,"1,148,130","17,200"
157,Djibouti,"973,560","23,180"
158,Fiji,"889,953","18,270"
159,Comoros,"850,886","1,861"
160,Guyana,"782,766","196,850"
161,Bhutan,"763,092","38,117"
162,Solomon Islands,"669,823","27,990"
163,Montenegro,"627,987","13,450"
164,Luxembourg,"615,729","2,590"
165,Suriname,"581,372","156,000"
166,Cabo Verde,"549,935","4,030"
167,Micronesia,"543,486",700
168,Maldives,"530,953",300
169,Malta,"440,372",320
170,Brunei,"433,285","5,270"
171,Belize,"390,353","22,810"
172,Bahamas,"389,482","10,010"
173,Iceland,"339,031","100,250"
174,Vanuatu,"299,882","12,190"
175,Barbados,"287,025",430
176,Sao Tome & Principe,"215,056",960
177,Samoa,"197,097","2,830"
178,Saint Lucia,"182,790",610
179,Kiribati,"117,606",810
180,Grenada,"112,003",340
181,St. Vincent & Grenadines,"110,589",390
182,Tonga,"104,494",720
183,Seychelles,"97,739",460
184,Antigua and Barbuda,"97,118",440
185,Andorra,"77,142",470
186,Dominica,"71,808",750
187,Marshall Islands,"58,791",180
188,Saint Kitts & Nevis,"52,823",260
189,Monaco,"38,964",1
190,Liechtenstein,"38,019",160
191,San Marino,"33,860",60
192,Palau,"18,008",460
193,Tuvalu,"11,646",30
194,Nauru,"10,756",20
195,Holy See,799,0
